postid,lang,postyear,postdatetime,pageid,article_firstedit_ever_revid,article_firstedit_ever_date,article_firstedit_ever_timestamp,article_firstedit_ever_size,totaledits_byall,totaledits_byregistered,unique_all_editors,unique_registered_editors,total_size_added,sizeadded_byregistered,firstedit_revid,firstedit_timestamp,endfirstday_revid,endfirstweek_revid,firstmonth_revid,topic,category,updated_topic
1581,en,2015,2/8/15,44866404,639942321,12/28/14,2014-12-28T13:29:06Z,992,47,47,11,10,4475,4475,646219137,2/8/15 18:29,646248047,646784131,650611092,5,Art and culture,2
1581,ar,2015,2/8/15,2489804,14963409,2/16/15,2015-02-16T01:06:08Z,21058,2,2,2,1,44,44,14963409,2/16/15 1:06,14963409,14980223,14980223,5,Art and culture,2
1581,zh,2015,2/8/15,4507927,34257136,2/9/15,2015-02-09T03:03:09Z,4035,44,44,3,2,15048,15048,34257136,2/9/15 3:03,34266054,34285329,34337450,5,Art and culture,2
1581,es,2015,2/8/15,6565837,79337686,1/11/15,2015-01-11T16:22:32Z,12900,5,3,3,1,44,-19,79909948,2/8/15 21:21,79911428,79920981,79920981,5,Art and culture,2
1582,en,2015,2/8/15,1544891,10567214,2/25/05,2005-02-25T18:23:27Z,3055,97,84,34,23,4797,4777,646114065,2/8/15 0:34,646255452,646958621,647591967,5,Person,2
1582,es,2015,2/8/15,6124499,71660548,12/31/13,2013-12-31T21:51:24Z,3786,6,6,3,2,37,37,79927544,2/9/15 19:28,79927625,79983382,79983382,5,Person,2
1583,en,2015,2/8/15,37023012,512644078,9/15/12,2012-09-15T12:10:33Z,160,97,70,45,32,2895,2665,646122562,2/8/15 1:50,646254388,647172484,648357450,-1,None,6
1583,ar,2015,2/8/15,2484166,14940328,2/12/15,2015-02-12T01:29:44Z,3134,15,15,5,4,118,118,14940328,2/12/15 1:29,14940914,14964873,15055193,-1,None,6
1583,zh,2015,2/8/15,4509194,34266225,2/9/15,2015-02-09T18:04:48Z,2932,11,11,4,3,356,356,34266225,2/9/15 18:04,34266560,34278727,34278727,-1,None,6
1583,es,2015,2/8/15,3955949,38060775,6/15/10,2010-06-15T11:23:20Z,2081,4,2,4,2,37,38,79935731,2/10/15 2:15,79938693,79975835,79975835,-1,None,6
1584,en,2015,2/7/15,456292,2311463,2/5/04,2004-02-05T20:33:53Z,1319,141,99,60,36,6047,3358,646189865,2/8/15 14:12,646255309,647034637,648420109,5,Person,2
1584,ar,2015,2/7/15,3466878,22614194,2/28/17,2017-02-28T11:45:37Z,2047,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
1584,es,2015,2/7/15,776180,7142008,2/21/07,2007-02-21T16:59:24Z,1097,6,5,4,3,222,222,79903071,2/8/15 14:58,79906553,79983544,79983544,5,Person,2
1585,en,2015,2/5/15,32051905,433769788,6/11/11,2011-06-11T20:22:53Z,483,86,66,45,36,4975,4190,645689400,2/5/15 1:52,645774834,646723230,650368393,-1,Society and social science,6
1585,ar,2015,2/5/15,3152776,19496834,4/30/16,2016-04-30T20:16:42Z,27627,0,0,0,0,0,0,0,0,0,0,0,-1,Society and social science,6
1585,zh,2015,2/5/15,3402555,26020328,3/31/13,2013-03-31T17:00:56Z,5934,0,0,0,0,0,0,0,0,0,0,0,-1,Society and social science,6
1585,es,2015,2/5/15,5523166,61996778,12/6/12,2012-12-06T08:48:58Z,3597,3,1,3,1,0,21,79843813,2/5/15 9:48,79843813,79843813,80162522,-1,Society and social science,6
1586,en,2015,2/4/15,45298077,645555543,2/4/15,2015-02-04T04:23:38Z,1908,908,795,221,153,20526,11737,645555543,2/4/15 4:23,645673866,646599761,648610056,0,Society and social science,5
1586,ar,2015,2/4/15,2475967,14900444,2/6/15,2015-02-06T17:03:35Z,1353,11,11,4,3,2541,2541,14900444,2/6/15 17:03,14902002,14924376,15019509,0,Society and social science,5
1586,zh,2015,2/4/15,4500090,34200015,2/4/15,2015-02-04T03:56:58Z,1392,1189,812,201,112,38651,25050,34200015,2/4/15 3:56,34210098,34280070,34514435,0,Society and social science,5
1586,es,2015,2/4/15,6596071,79830773,2/4/15,2015-02-04T18:17:46Z,4402,25,19,13,7,4009,4533,79830773,2/4/15 18:17,79837654,79887602,80068254,0,Society and social science,5
1587,en,2015,2/3/15,1175864,7524076,11/16/04,2004-11-16T14:52:31Z,588,65,62,15,13,5566,5481,645558880,2/4/15 5:04,645671780,646185666,649061751,5,Person,2
1587,es,2015,2/3/15,7736626,96213417,1/14/17,2017-01-14T13:01:57Z,3839,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
1588,en,2015,2/1/15,43307633,617065157,7/15/14,2014-07-15T16:13:02Z,2889,90,69,46,33,-46658,-46964,645096001,2/1/15 4:59,645208224,646138442,648478588,2,Sports,4
1588,ar,2015,2/1/15,2452368,14780933,1/19/15,2015-01-19T13:24:21Z,5999,6,6,2,1,-321,-321,14862876,2/1/15 13:03,14864337,14904817,14904817,2,Sports,4
1588,zh,2015,2/1/15,4420364,33650209,12/19/14,2014-12-19T03:11:44Z,8370,4,4,3,2,564,564,34183616,2/2/15 13:23,34183741,34201229,34201229,2,Sports,4
1588,es,2015,2/1/15,6399264,76384897,8/16/14,2014-08-16T01:41:09Z,38,20,19,6,5,563,567,79742636,2/1/15 6:14,79753748,79802219,79802219,2,Sports,4
1589,en,2015,2/1/15,18784650,40961604,2/24/06,2006-02-24T03:29:26Z,133,499,490,161,156,40791,123065,645074078,2/1/15 1:05,645230971,646107775,649551716,2,Sports,4
1589,zh,2015,2/1/15,4475629,34022293,1/19/15,2015-01-19T23:56:08Z,3233,29,28,9,8,5714,5327,34167138,2/1/15 7:42,34167202,34228222,34228222,2,Sports,4
1589,es,2015,2/1/15,6527228,78553082,12/4/14,2014-12-04T21:20:35Z,2432,54,27,26,14,36888,769,79753827,2/1/15 20:30,79758180,79839938,80327439,2,Sports,4
1590,en,2015,3/31/15,43707932,623618398,8/31/14,2014-08-31T20:17:56Z,1870,183,171,46,38,8424,8587,654262010,3/31/15 0:28,654417518,655178943,660112416,1,Society and social science,3
1590,zh,2015,3/31/15,4657110,34895840,3/27/15,2015-03-27T15:49:30Z,1726,5,5,1,0,2235,2235,34945501,3/31/15 17:49,34945501,34963144,35526464,1,Society and social science,3
1592,en,2015,3/29/15,4960773,50954053,4/30/06,2006-04-30T22:39:37Z,1286,148,137,54,47,7519,7576,653996234,3/29/15 5:53,654099684,654912002,659455850,2,Sports,4
1592,zh,2015,3/29/15,4663992,34936757,3/31/15,2015-03-31T03:33:54Z,270,10,5,3,2,2391,125,34936757,3/31/15 3:33,34936775,34957893,35489224,2,Sports,4
1592,es,2015,3/29/15,6643548,80609538,3/15/15,2015-03-15T15:40:30Z,6629,1,0,1,0,0,0,81071180,3/29/15 14:09,81071180,81071180,81071180,2,Sports,4
1598,en,2015,3/25/15,1814725,12968996,4/29/05,2005-04-29T10:30:42Z,599,36,27,20,14,2900,2718,653444322,3/25/15 11:15,653515885,654424683,654424683,2,Person,4
1598,ar,2015,3/25/15,1965386,12667571,3/5/14,2014-03-05T18:59:03Z,1845,1,1,1,0,0,0,15386649,3/27/15 8:39,15386649,15386649,15386649,2,Person,4
1598,zh,2015,3/25/15,3720185,29207360,11/13/13,2013-11-13T18:04:11Z,1744,9,5,5,3,174,147,34872812,3/25/15 16:13,34872818,34899444,34899444,2,Person,4
1598,es,2015,3/25/15,7005626,84739767,8/29/15,2015-08-29T00:00:54Z,3800,0,0,0,0,0,0,0,0,0,0,0,2,Person,4
1600,en,2015,3/24/15,46213006,653290540,3/24/15,2015-03-24T11:02:49Z,131,2872,2311,676,417,62689,37196,653290540,3/24/15 11:02,653385840,654305059,658846201,0,Society and social science,5
1600,ar,2015,3/24/15,2542462,15361426,3/24/15,2015-03-24T14:28:08Z,905,63,61,21,19,8786,8644,15361426,3/24/15 14:28,15364693,15427215,15544114,0,Society and social science,5
1600,zh,2015,3/24/15,4651019,34858863,3/24/15,2015-03-24T11:26:16Z,158,127,109,54,42,25411,26327,34858863,3/24/15 11:26,34863697,34932242,35172251,0,Society and social science,5
1600,es,2015,3/24/15,6829042,80970035,3/24/15,2015-03-24T11:31:33Z,1220,392,275,118,75,4726,214768,80970035,3/24/15 11:31,80983507,81110778,81723022,0,Society and social science,5
1601,en,2015,3/21/15,350939,2391543,5/31/01,2001-05-31T01:48:06Z,1138,103,64,61,33,5397,4749,652903272,3/21/15 17:36,652926060,653809616,657364876,5,Other,2
1601,ar,2015,3/21/15,1369,1175,2/21/04,2004-02-21T09:29:20Z,3169,98,75,31,15,5324,5924,15329467,3/21/15 14:52,15330362,15404999,15677847,5,Other,2
1601,zh,2015,3/21/15,33565,104360,6/10/04,2004-06-10T04:32:27Z,3481,40,19,17,7,1327,903,34854040,3/24/15 2:54,34854298,34915398,35131010,5,Other,2
1601,es,2015,3/21/15,11103,44587,8/28/03,2003-08-28T10:36:16Z,2997,4,1,4,1,288,0,80968331,3/24/15 7:37,80968331,80968331,81466335,5,Other,2
1602,en,2015,3/20/15,46178462,652728012,3/20/15,2015-03-20T12:54:10Z,769,163,135,44,33,7255,6653,652728012,3/20/15 12:54,652807057,653611965,656225664,5,Other,2
1602,ar,2015,3/20/15,2537780,15307789,3/20/15,2015-03-20T14:28:22Z,1517,30,28,8,6,2981,2977,15307789,3/20/15 14:28,15314922,15367981,15531910,5,Other,2
1602,zh,2015,3/20/15,4645633,34825906,3/21/15,2015-03-21T13:08:46Z,3314,16,16,3,2,569,569,34825906,3/21/15 13:08,34826104,34834558,34921099,5,Other,2
1602,es,2015,3/20/15,7146211,86952862,11/16/15,2015-11-16T23:58:34Z,6195,0,0,0,0,0,0,0,0,0,0,0,5,Other,2
1603,en,2015,3/20/15,22106052,279209948,3/23/09,2009-03-23T19:23:49Z,1367,251,183,132,88,5206,11780,652705535,3/20/15 7:53,652804727,653710183,656431451,6,Science and nature,1
1603,ar,2015,3/20/15,2537413,15301576,3/20/15,2015-03-20T08:17:56Z,733,24,23,10,9,1362,1487,15301576,3/20/15 8:17,15313403,15330947,15594603,6,Science and nature,1
1603,zh,2015,3/20/15,2817090,21288604,5/20/12,2012-05-20T12:30:31Z,1524,20,6,13,5,2246,223,34788673,3/20/15 11:14,34815629,34892182,35072375,6,Science and nature,1
1603,es,2015,3/20/15,3031664,31038834,10/30/09,2009-10-30T22:09:39Z,1117,41,22,25,15,489,2791,80889312,3/20/15 1:38,80905906,80957458,81265647,6,Science and nature,1
1604,en,2015,3/20/15,19734,346066395,8/17/01,2001-08-17T16:07:55Z,133,142,118,59,41,7992,6317,652335279,3/20/15 0:25,652799126,653578247,656533493,5,Person,2
1604,zh,2015,3/20/15,579502,4582465,7/6/07,2007-07-06T14:57:59Z,120,4,3,4,3,8073,8073,34697852,3/20/15 1:46,34700148,34841730,34841730,5,Person,2
1604,es,2015,3/20/15,2416534,25375578,4/6/09,2009-04-06T13:51:24Z,587,11,11,3,2,583,583,80888053,3/20/15 0:25,80888655,80998359,80998359,5,Person,2
1606,en,2015,3/18/15,37281035,516966116,10/10/12,2012-10-10T07:17:04Z,48,270,207,78,54,16836,87101,651855392,3/18/15 0:02,651990312,653278460,656218668,4,Society and social science,3
1606,ar,2015,3/18/15,4076920,26400672,1/1/18,2018-01-01T12:17:42Z,2628,0,0,0,0,0,0,0,0,0,0,0,4,Society and social science,3
1606,zh,2015,3/18/15,5062440,37492878,10/9/15,2015-10-09T13:22:09Z,5708,0,0,0,0,0,0,0,0,0,0,0,4,Society and social science,3
1606,es,2015,3/18/15,6646399,80657960,3/17/15,2015-03-17T20:57:48Z,2452,9,7,5,3,2732,2691,80863058,3/18/15 20:02,80863591,80885426,81242948,4,Society and social science,3
1607,en,2015,3/15/15,1001151,6008870,9/20/04,2004-09-20T08:11:07Z,118,57,50,32,25,6813,6232,651497941,3/15/15 16:23,651558761,652966379,653035254,1,Person,3
1607,zh,2015,3/15/15,167229,1064031,10/2/05,2005-10-02T13:44:33Z,1327,133,107,37,26,6651,12064,34650542,3/15/15 16:09,34652344,34824526,35094296,1,Person,3
1607,es,2015,3/15/15,7037284,85355241,9/25/15,2015-09-25T11:01:25Z,5005,0,0,0,0,0,0,0,0,0,0,0,1,Person,3
1608,en,2015,3/14/15,3127278,27940012,11/10/05,2005-11-10T17:45:08Z,239,39,35,27,23,999,227,651399260,3/14/15 22:58,651399386,652913176,654607914,5,Person,2
1608,ar,2015,3/14/15,1407450,9142006,7/28/12,2012-07-28T15:41:56Z,1488,3,3,3,2,94,94,15183449,3/15/15 12:37,15183449,15183449,15392071,5,Person,2
1608,zh,2015,3/14/15,4652794,34869236,3/25/15,2015-03-25T10:57:39Z,816,8,7,4,3,313,306,34869236,3/25/15 10:57,34869250,34887483,34887483,5,Person,2
1608,es,2015,3/14/15,2971994,30443659,10/9/09,2009-10-09T14:16:41Z,5987,18,17,9,8,-343,-333,80603924,3/15/15 3:50,80613044,80874793,80874793,5,Person,2
1609,en,2015,3/14/15,2375585,20245949,8/4/05,2005-08-04T06:31:08Z,277,101,80,65,48,2401,934,651316171,3/14/15 9:47,651377666,652061059,655956247,5,Person,2
1609,ar,2015,3/14/15,457028,2384394,11/11/08,2008-11-11T01:16:53Z,653,4,4,4,3,344,344,15198108,3/16/15 15:05,15198108,15306072,15306072,5,Person,2
1609,zh,2015,3/14/15,917614,8441001,10/30/08,2008-10-30T11:49:42Z,1750,1,1,1,0,0,0,34675634,3/17/15 23:46,34675634,34675634,34675634,5,Person,2
1609,es,2015,3/14/15,2045098,21671478,11/11/08,2008-11-11T11:25:39Z,1986,1,1,1,0,0,0,80905396,3/20/15 23:10,80905396,80905396,80905396,5,Person,2
1610,en,2015,3/13/15,8047738,89201035,11/21/06,2006-11-21T09:34:22Z,1637,73,52,41,28,1534,1347,651231281,3/13/15 19:20,651263773,652765218,655526622,6,Other,1
1610,zh,2015,3/13/15,3768656,29600784,12/22/13,2013-12-22T16:59:41Z,756,5,4,4,3,553,553,34641954,3/15/15 4:28,34650650,34653805,34653805,6,Other,1
1610,es,2015,3/13/15,6644470,80625911,3/16/15,2015-03-16T10:48:27Z,6926,7,7,4,3,-21,-21,80625911,3/16/15 10:48,80631488,80656652,80656652,6,Other,1
1611,en,2015,3/13/15,34132047,466800178,12/20/11,2011-12-20T02:44:40Z,71,418,356,109,75,47458,150219,651135214,3/13/15 1:50,651264453,652411978,655184587,0,Science and nature,5
1611,zh,2015,3/13/15,4557787,34606045,3/12/15,2015-03-12T04:33:56Z,24,54,15,25,8,3975,332,34616826,3/13/15 5:02,34623215,34691604,35051674,0,Science and nature,5
1611,es,2015,3/13/15,6641004,80566025,3/13/15,2015-03-13T02:49:35Z,3536,43,40,9,7,41152,41123,80566025,3/13/15 2:49,80580474,80857616,81353710,0,Science and nature,5
1612,en,2015,3/12/15,30029,344005429,9/29/01,2001-09-29T18:48:53Z,1159,218,186,102,76,5605,5376,651055977,3/12/15 15:12,651121729,652071116,656034012,5,Person,2
1612,ar,2015,3/12/15,2834618,16795885,8/30/15,2015-08-30T12:49:11Z,4119,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
1612,zh,2015,3/12/15,554126,4310858,5/31/07,2007-05-31T09:11:48Z,623,25,23,11,10,4570,4516,34612074,3/12/15 15:35,34613238,34645088,34645088,5,Person,2
1612,es,2015,3/12/15,2736,5715,12/14/01,2001-12-14T22:03:10Z,527,35,27,19,12,665,874,80549112,3/12/15 15:23,80562030,80647010,81318667,5,Person,2
1613,en,2015,3/10/15,1591845,11612123,3/10/05,2005-03-10T23:59:16Z,1631,83,62,53,36,3087,1671,650817242,3/10/15 21:41,650832031,651605861,653015301,2,Person,4
1613,ar,2015,3/10/15,1664015,10903602,4/29/13,2013-04-29T18:45:29Z,751,7,7,3,2,1514,1514,15157333,3/12/15 20:01,15157333,15268838,15268838,2,Person,4
1613,zh,2015,3/10/15,4559416,34616593,3/13/15,2015-03-13T04:29:10Z,1446,39,37,8,7,8081,8069,34616593,3/13/15 4:29,34625057,34680096,34927590,2,Person,4
1613,es,2015,3/10/15,431771,3693471,6/26/06,2006-06-26T21:21:50Z,4889,10,3,9,3,1213,488,80516671,3/10/15 21:16,80518395,80550353,80983489,2,Person,4
1614,en,2015,3/10/15,53422,78049,5/25/02,2002-05-25T14:02:02Z,1373,36,32,20,16,1265,709,650819378,3/10/15 21:58,650831534,651626283,653026111,2,Art and culture,4
1614,ar,2015,3/10/15,27590,103355,11/19/05,2005-11-19T14:52:15Z,2330,0,0,0,0,0,0,0,0,0,0,0,2,Art and culture,4
1614,zh,2015,3/10/15,98177,427665,4/22/05,2005-04-22T14:46:22Z,3315,8,8,3,2,-235,-235,34616630,3/13/15 4:36,34616977,34657237,34657237,2,Art and culture,4
1614,es,2015,3/10/15,25028,77079,12/12/03,2003-12-12T13:42:03Z,30,9,3,6,3,16,-37,80522280,3/11/15 2:09,80522280,80600672,80983477,2,Art and culture,4
1616,en,2015,3/9/15,2300188,19518983,7/24/05,2005-07-24T18:17:29Z,561,170,116,88,50,3731,4435,650640101,3/9/15 18:17,650676766,651521411,654725844,5,Person,2
1616,ar,2015,3/9/15,3219117,20421790,7/6/16,2016-07-06T15:31:13Z,2653,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
1616,zh,2015,3/9/15,694709,6049967,1/18/08,2008-01-18T15:25:28Z,1172,6,5,4,3,1184,190,34581817,3/9/15 21:30,34581834,34601383,34601383,5,Person,2
1616,es,2015,3/9/15,835912,7714536,3/23/07,2007-03-23T14:04:59Z,689,25,13,15,7,921,804,80494142,3/9/15 19:10,80500093,80608122,80900023,5,Person,2
1618,en,2015,3/6/15,532434,2950113,3/17/04,2004-03-17T08:48:34Z,321,158,141,63,48,4155,8747,650099358,3/6/15 4:21,650217680,651095142,654679114,-1,Science and nature,6
1618,ar,2015,3/6/15,511708,2708047,2/6/09,2009-02-06T12:38:27Z,2606,2,2,1,0,6,6,15404019,3/28/15 10:23,15404019,15454476,15454476,-1,Science and nature,6
1618,zh,2015,3/6/15,687734,5957261,1/6/08,2008-01-06T01:45:18Z,1589,10,9,6,5,1323,1328,34547561,3/7/15 3:24,34558039,34620889,34926631,-1,Science and nature,6
1618,es,2015,3/6/15,901887,8388242,4/26/07,2007-04-26T17:28:00Z,2499,5,5,2,1,215,215,80431711,3/6/15 16:27,80431776,80461519,80461519,-1,Science and nature,6
1619,en,2015,3/6/15,5595163,193724,4/2/02,2002-04-02T18:38:18Z,246,134,119,52,41,4287,4182,650088649,3/6/15 2:28,650213187,651114394,655036523,6,Science and nature,1
1619,ar,2015,3/6/15,64663,306568,8/29/06,2006-08-29T22:22:36Z,409,3,3,2,1,52,52,15103320,3/6/15 20:10,15103320,15158495,15416873,6,Science and nature,1
1619,zh,2015,3/6/15,79240,335883,2/25/05,2005-02-25T04:17:51Z,2112,2,1,2,1,-13,0,34558019,3/7/15 20:30,34558019,34558019,34697352,6,Science and nature,1
1619,es,2015,3/6/15,12520,32118,9/14/03,2003-09-14T20:25:14Z,367,4,3,4,3,36,36,80432499,3/6/15 17:09,80432499,80487952,81120962,6,Science and nature,1
1620,en,2015,3/5/15,461456,2340876,2/9/04,2004-02-09T01:35:20Z,27,256,224,97,71,28497,26784,649968986,3/5/15 9:28,650069500,650979344,654557622,-1,Geography and place,6
1620,ar,2015,3/5/15,621060,3523992,6/27/09,2009-06-27T14:12:13Z,2324,4,4,4,3,-85,-85,15110278,3/7/15 16:06,15110354,15116548,15174919,-1,Geography and place,6
1620,zh,2015,3/5/15,2867960,21685875,6/23/12,2012-06-23T11:15:48Z,2588,7,7,2,1,321,321,34549610,3/7/15 6:51,34550543,34550543,34550543,-1,Geography and place,6
1620,es,2015,3/5/15,198587,1377541,9/25/05,2005-09-25T10:46:04Z,4426,4,2,4,2,948,917,80430194,3/6/15 14:58,80431457,80446746,80446746,-1,Geography and place,6
1621,en,2015,3/5/15,44044023,628564696,10/7/14,2014-10-07T00:43:18Z,2077,16,16,9,8,533,533,649915485,3/5/15 0:09,650025437,650908051,653058655,1,Society and social science,3
1621,es,2015,3/5/15,7875529,98318972,4/13/17,2017-04-13T06:18:32Z,5210,0,0,0,0,0,0,0,0,0,0,0,1,Society and social science,3
1622,en,2015,3/4/15,488341,2525883,2/25/04,2004-02-25T15:56:55Z,825,59,48,24,15,10148,28082,649774005,3/4/15 1:16,649835936,650797230,654365087,6,None,1
1622,ar,2015,3/4/15,344407,1757431,6/5/08,2008-06-05T11:36:04Z,147,3,3,3,2,62,62,15193336,3/16/15 2:47,15193336,15277854,15425798,6,None,1
1622,zh,2015,3/4/15,11422,43633,1/24/04,2004-01-24T15:39:34Z,2306,2,2,2,1,54,54,34577404,3/9/15 11:44,34577404,34577404,34875537,6,None,1
1622,es,2015,3/4/15,3277,6695,10/24/02,2002-10-24T07:33:51Z,975,7,6,6,5,54,51,80558842,3/12/15 19:57,80560699,80569179,81166850,6,None,1
1623,en,2015,3/4/15,208417,817770,4/10/03,2003-04-10T20:19:29Z,621,44,44,27,26,1684,1684,649765892,3/4/15 0:10,649904940,650753454,653957712,6,Society and social science,1
1623,zh,2015,3/4/15,144433,904987,8/12/05,2005-08-12T06:03:27Z,64,29,26,6,3,7560,7505,34518571,3/4/15 7:48,34520673,34589888,34975418,6,Society and social science,1
1623,es,2015,3/4/15,183843,1235390,8/29/05,2005-08-29T02:01:05Z,884,16,10,7,3,61,-48,80393842,3/4/15 19:00,80393998,80465232,81146082,6,Society and social science,1
1624,en,2015,3/2/15,2633030,22764115,9/7/05,2005-09-07T10:18:22Z,1098,100,89,36,29,10985,10584,649600359,3/2/15 22:28,649610929,650301362,651179198,-1,None,6
1624,ar,2015,3/2/15,247889,1124411,11/10/07,2007-11-10T08:23:33Z,2485,2,2,2,1,68,68,15082703,3/3/15 21:43,15082703,15082703,15205426,-1,None,6
1624,es,2015,3/2/15,6629083,80376816,3/3/15,2015-03-03T22:20:14Z,1498,18,17,5,4,10304,10304,80376816,3/3/15 22:20,80377577,80483578,80483578,-1,None,6
1625,en,2015,3/2/15,1264568,8318973,12/11/04,2004-12-11T02:35:16Z,1220,48,43,20,17,6776,12737,649503697,3/2/15 7:36,649544604,650443459,654028871,5,Person,2
1625,ar,2015,3/2/15,672418,3958161,8/27/09,2009-08-27T09:31:18Z,392,5,5,3,2,81,81,15347209,3/22/15 16:46,15351053,15413425,15413425,5,Person,2
1625,zh,2015,3/2/15,3158153,23628815,11/10/12,2012-11-10T01:42:41Z,1747,4,4,3,2,1311,1311,34539396,3/6/15 8:26,34539396,34590157,34590157,5,Person,2
1625,es,2015,3/2/15,215532,1531874,10/23/05,2005-10-23T10:16:38Z,4797,3,3,2,1,28,28,80344178,3/2/15 9:31,80344449,80406292,80406292,5,Person,2
1626,en,2015,3/1/15,43579045,621499598,8/16/14,2014-08-16T15:53:25Z,3337,43,34,26,18,2652,2366,649444706,3/1/15 22:49,649451852,650376964,653500244,4,Society and social science,3
1626,zh,2015,3/1/15,5050620,37339361,9/26/15,2015-09-26T02:20:59Z,6141,0,0,0,0,0,0,0,0,0,0,0,4,Society and social science,3
1626,es,2015,3/1/15,8381843,105963073,3/3/18,2018-03-03T19:16:28Z,12610,0,0,0,0,0,0,0,0,0,0,0,4,Society and social science,3
1627,en,2015,3/1/15,568237,3107386,4/1/04,2004-04-01T01:49:05Z,516,122,97,33,24,11876,10187,649382600,3/1/15 14:43,649448810,650140311,651652137,5,Person,2
1627,es,2015,3/1/15,6499512,78083482,11/11/14,2014-11-11T15:40:25Z,2091,19,10,10,6,1663,70,80331054,3/1/15 17:49,80331122,80441189,80441189,5,Person,2
1628,en,2015,4/30/15,451839,2284500,2/2/04,2004-02-02T08:12:05Z,690,131,117,51,38,3433,3299,659984441,4/30/15 2:32,660148811,661033402,663009201,-1,Science and nature,6
1628,ar,2015,4/30/15,510874,2701824,2/4/09,2009-02-04T18:11:42Z,2847,34,31,9,6,5419,5207,15779321,4/30/15 10:59,15779562,15814264,15897154,-1,Science and nature,6
1628,zh,2015,4/30/15,687159,5948914,1/5/08,2008-01-05T01:27:16Z,1475,23,20,11,9,2112,2118,35565349,5/1/15 6:37,35572496,35619419,35619419,-1,Science and nature,6
1628,es,2015,4/30/15,283436,2186279,1/30/06,2006-01-30T19:43:13Z,933,14,10,9,6,793,705,82131871,4/30/15 15:21,82131871,82267455,82428140,-1,Science and nature,6
1629,en,2015,4/30/15,46564237,659943730,4/29/15,2015-04-29T21:28:07Z,1132,93,81,43,32,6598,6216,659987728,4/30/15 2:59,660095911,661095987,661095987,6,None,1
1629,ar,2015,4/30/15,3355808,21820027,12/7/16,2016-12-07T08:35:15Z,1544,0,0,0,0,0,0,0,0,0,0,0,6,None,1
1629,zh,2015,4/30/15,4746673,35549814,4/30/15,2015-04-30T03:58:45Z,527,20,20,5,4,1817,1817,35549814,4/30/15 3:58,35550491,35600126,35649529,6,None,1
1629,es,2015,4/30/15,6869854,82127654,4/30/15,2015-04-30T08:26:04Z,7979,18,18,5,4,1637,1637,82127654,4/30/15 8:26,82128978,82186198,82463698,6,None,1
1630,en,2015,4/30/15,172323,606468,1/21/03,2003-01-21T21:40:21Z,986,25,23,16,14,2284,2039,660072536,4/30/15 15:28,660123827,661142244,663768167,2,Other,4
1630,ar,2015,4/30/15,147791,635361,3/31/07,2007-03-31T00:03:43Z,8167,7,7,4,3,105,105,15795921,5/1/15 19:15,15796029,15803652,15928446,2,Other,4
1630,zh,2015,4/30/15,934189,8661485,11/30/08,2008-11-30T04:38:11Z,66,1,1,1,0,0,0,35567689,5/1/15 9:51,35567689,35567689,35567689,2,Other,4
1630,es,2015,4/30/15,8741094,112288356,11/26/18,2018-11-26T22:42:11Z,25,0,0,0,0,0,0,0,0,0,0,0,2,Other,4
1631,en,2015,4/29/15,46553335,659746428,4/28/15,2015-04-28T20:44:43Z,609,79,58,30,21,7250,6852,659836460,4/29/15 8:52,659956306,660604201,663817492,-1,Science and nature,6
1631,ar,2015,4/29/15,2649419,15787931,5/1/15,2015-05-01T09:26:49Z,1456,13,12,3,2,2655,2632,15787931,5/1/15 9:26,15798705,15827938,15852953,-1,Science and nature,6
1631,es,2015,4/29/15,6870755,82144793,5/1/15,2015-05-01T05:43:00Z,820,8,7,5,4,1880,1699,82144793,5/1/15 5:43,82145310,82287973,82309646,-1,Science and nature,6
1632,en,2015,4/29/15,1778999,12651954,4/22/05,2005-04-22T07:35:21Z,4728,63,58,36,31,2354,2194,659773906,4/29/15 0:05,659963691,660992562,662226450,5,Person,2
1632,zh,2015,4/29/15,229762,1544831,2/19/06,2006-02-19T20:56:37Z,667,8,7,4,3,325,176,35535792,4/29/15 0:05,35539677,35555219,35649960,5,Person,2
1633,en,2015,4/29/15,36861341,509769693,8/29/12,2012-08-29T13:31:26Z,221,37,31,17,13,7141,7116,659792544,4/29/15 2:21,659848655,660837289,660837289,-1,None,6
1633,zh,2015,4/29/15,4747018,35551493,4/30/15,2015-04-30T07:01:58Z,1698,3,3,1,0,85,85,35551493,4/30/15 7:01,35551520,35551520,35551520,-1,None,6
1634,en,2015,4/28/15,45229509,644414180,1/27/15,2015-01-27T15:20:43Z,1043,82,73,8,7,12211,11956,659698752,4/28/15 15:45,659763024,660223744,662498968,1,Society and social science,3
1634,zh,2015,4/28/15,4750581,35569622,5/1/15,2015-05-01T13:00:57Z,15073,6,6,3,2,49,49,35569622,5/1/15 13:00,35570439,35602210,35602210,1,Society and social science,3
1639,en,2015,4/24/15,356455,1671441,11/4/03,2003-11-04T10:29:01Z,278,97,85,30,21,3812,43201,659030961,4/24/15 18:57,659064617,659992526,661682032,5,Person,2
1639,es,2015,4/24/15,4631999,46393357,5/15/11,2011-05-15T10:18:57Z,5764,36,33,11,8,2715,2649,82012598,4/24/15 19:40,82015402,82107191,82107191,5,Person,2
